name,position,team,opponent_team,total_points,was_home,team_tot_points_last_5_matches,team_tot_points_last_5_h2h,tot_assists_last_5_h2h,tot_bonus_last_5_h2h,tot_bps_last_5_h2h,tot_clean_sheets_last_5_h2h,tot_goals_conceded_last_5_h2h,tot_goals_scored_last_5_h2h,tot_own_goals_last_5_h2h,tot_penalties_missed_last_5_h2h,tot_penalties_saved_last_5_h2h,tot_red_cards_last_5_h2h,tot_yellow_cards_last_5_h2h,tot_saves_last_5_h2h,tot_total_points_last_5_h2h,avg_ict_index_last_5_h2h,avg_influence_last_5_h2h,avg_creativity_last_5_h2h,avg_threat_last_5_h2h,avg_selected_last_5_h2h,avg_minutes_last_5_h2h,tot_assists_last_5,tot_bonus_last_5,tot_bps_last_5,tot_clean_sheets_last_5,tot_goals_conceded_last_5,tot_goals_scored_last_5,tot_own_goals_last_5,tot_penalties_missed_last_5,tot_penalties_saved_last_5,tot_red_cards_last_5,tot_yellow_cards_last_5,tot_saves_last_5,tot_total_points_last_5,avg_ict_index_last_5,avg_influence_last_5,avg_creativity_last_5,avg_threat_last_5,avg_selected_last_5,avg_minutes_last_5
Simon Adingra,MID,Brighton & Hove Albion,Manchester United,4,True,15.0,3.0,2,0,42,0,2,0,0,0,0,0,0,0,11,3.0,13.0,13.0,5.0,53503.0,41.0,1,0,65,0,4,1,0,0,0,0,0,0,16,5.0,16.0,13.0,19.0,62398.0,60.0
Leny Yoro,DEF,Manchester United,Brighton & Hove Albion,0,False,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13220.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16535.0,0.0
Luke Shaw,DEF,Manchester United,Brighton & Hove Albion,0,False,9.0,9.0,0,0,34,0,3,0,0,0,0,0,1,0,2,3.0,11.0,19.0,0.0,1014074.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,199018.0,0.0
Julio Enciso,MID,Brighton & Hove Albion,Manchester United,1,True,15.0,6.0,2,0,34,1,3,0,0,0,0,0,1,0,11,3.0,8.0,11.0,11.0,121811.0,40.0,0,0,13,0,5,0,0,0,0,0,1,0,5,2.0,3.0,9.0,8.0,30666.0,39.0
Amario Cozier-Duberry,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6708.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5614.0,0.0
Jeremy Sarmiento,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2292.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1677.0,2.0
Odeluga Offiah,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4427.0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,5920.0,2.0
Yasin Ayari,MID,Brighton & Hove Albion,Manchester United,1,True,15.0,15.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2391.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,1.0,1410.0,0.0
Mason Mount,MID,Manchester United,Brighton & Hove Albion,1,False,6.0,6.0,0,0,15,0,3,0,0,0,0,0,0,0,4,1.0,3.0,6.0,4.0,185081.0,29.0,0,0,2,1,1,0,0,0,0,0,1,0,3,2.0,3.0,5.0,8.0,60719.0,21.0
Pervis Estupiñán,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,1,2,61,1,1,1,0,0,0,0,1,0,18,3.0,15.0,12.0,8.0,2898490.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,966460.0,0.0
James Milner,MID,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,24,0,1,0,0,0,0,0,1,0,4,1.0,3.0,8.0,2.0,25752.0,30.0,0,0,22,1,1,0,0,0,0,0,1,0,4,2.0,6.0,13.0,2.0,9490.0,31.0
Mark O’Mahony,FWD,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,32960.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,24253.0,0.0
Georginio Rutter,MID,Brighton & Hove Albion,Manchester United,1,True,15.0,15.0,0,0,5,0,3,0,0,0,0,0,0,0,3,1.0,4.0,4.0,2.0,3699.0,20.0,1,0,17,0,2,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,2120.0,6.0
Evan Ferguson,FWD,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,4.0,382684.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,236788.0,0.0
Scott McTominay,MID,Manchester United,Brighton & Hove Albion,1,False,3.0,3.0,0,0,14,1,4,0,0,0,0,0,0,0,6,1.0,2.0,1.0,4.0,40906.0,37.0,0,0,15,1,4,0,0,0,0,0,0,0,9,2.0,5.0,6.0,10.0,86780.0,57.0
Tom Heaton,GK,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18647.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14203.0,0.0
Marcus Rashford,MID,Manchester United,Brighton & Hove Albion,2,False,0.0,0.0,0,0,23,0,7,0,0,0,0,0,0,0,9,5.0,7.0,14.0,26.0,2859231.0,69.0,0,0,16,1,2,0,0,0,0,0,0,0,7,1.0,2.0,5.0,3.0,789975.0,35.0
Carlos Vinícius,MID,Manchester United,Brighton & Hove Albion,2,False,0.0,0.0,1,0,50,1,4,0,0,0,0,0,1,0,9,2.0,14.0,6.0,3.0,189919.0,49.0,1,0,57,2,2,0,0,0,0,0,1,0,10,4.0,18.0,12.0,6.0,94292.0,54.0
Igor Julio,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,13,0,2,0,0,0,0,0,0,0,1,1.0,5.0,1.0,0.0,14256.0,22.0,0,0,54,0,5,0,0,0,0,0,0,0,4,2.0,11.0,4.0,0.0,19277.0,54.0
Lisandro Martínez,DEF,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,1,0,57,0,7,0,1,0,0,0,0,0,5,2.0,12.0,6.0,0.0,493371.0,64.0,0,1,50,1,3,0,0,0,0,0,0,0,10,1.0,9.0,3.0,0.0,332557.0,49.0
Rasmus Højlund,FWD,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,2,36,0,2,1,0,0,0,0,0,0,9,3.0,11.0,8.0,7.0,245602.0,23.0,0,3,63,0,2,2,0,0,0,0,0,0,15,3.0,14.0,5.0,8.0,395278.0,25.0
Billy Gilmour,MID,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,50,1,3,0,0,0,0,0,1,0,8,1.0,7.0,6.0,0.0,23365.0,55.0,0,0,46,0,5,0,0,0,0,0,2,0,6,1.0,6.0,6.0,1.0,20742.0,52.0
Solly March,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,3,55,0,1,2,0,0,0,0,0,0,16,5.0,20.0,12.0,14.0,658854.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,131187.0,0.0
Christian Eriksen,MID,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,1,0,33,0,4,0,0,0,0,0,0,0,7,1.0,7.0,4.0,1.0,81920.0,26.0,1,0,20,0,1,0,0,0,0,0,0,0,6,1.0,5.0,5.0,0.0,32253.0,4.0
Jadon Sancho,MID,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,10,0,2,0,0,0,0,0,0,0,2,0.0,1.0,1.0,0.0,113349.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,35204.0,0.0
Joshua Zirkzee,FWD,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,0,0,5,0,1,0,0,0,0,0,0,0,1,3.0,11.0,11.0,4.0,482527.0,45.0,0,3,38,0,1,1,0,0,0,0,0,0,9,4.0,22.0,6.0,10.0,327360.0,37.0
Jonny Evans,DEF,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,18,0,5,0,0,0,0,0,0,0,1,1.0,6.0,0.0,0.0,25654.0,24.0,0,0,27,0,3,0,0,0,0,0,0,0,5,1.0,6.0,2.0,0.0,44262.0,41.0
Bruno Fernandes,MID,Manchester United,Brighton & Hove Albion,2,False,0.0,0.0,0,0,58,0,7,0,0,0,0,0,3,0,6,7.0,13.0,40.0,15.0,1718042.0,81.0,1,0,55,1,2,0,0,0,0,0,1,0,10,6.0,13.0,26.0,18.0,1701226.0,63.0
