name,team,price,condition,position,GW
Pickford,Everton,4.9,1.0,GK,18
Sels,Nottingham Forest,4.7,1.0,GK,18
Onana,Manchester United,5.2,1.0,GK,18
Raya,Arsenal,5.6,1.0,GK,18
Sánchez,Chelsea,4.8,1.0,GK,18
Henderson,Crystal Palace,4.4,1.0,GK,18
Leno,Fulham,5.0,1.0,GK,18
Flekken,Brentford,4.5,1.0,GK,18
Pope,Newcastle United,4.9,0.0,GK,18
Martinez,Aston Villa,5.0,1.0,GK,18
Muric,Ipswich Town,4.4,1.0,GK,18
Arrizabalaga,Bournemouth,4.5,1.0,GK,18
Verbruggen,Brighton & Hove Albion,4.5,1.0,GK,18
Hermansen,Leicester City,4.5,0.75,GK,18
A.Becker,Liverpool,5.4,1.0,GK,18
Kelleher,Liverpool,4.4,1.0,GK,18
Vicario,Tottenham Hotspur,4.9,0.0,GK,18
Ramsdale,Southampton,4.4,1.0,GK,18
Ederson M.,Manchester City,5.4,0.5,GK,18
Fabianski,West Ham United,4.1,1.0,GK,18
José Sá,Wolverhampton Wanderers,4.3,1.0,GK,18
Forster,Tottenham Hotspur,4.3,1.0,GK,18
Areola,West Ham United,4.2,1.0,GK,18
Ortega Moreno,Manchester City,5.2,1.0,GK,18
Dúbravka,Newcastle United,4.2,1.0,GK,18
Johnstone,Wolverhampton Wanderers,4.3,1.0,GK,18
Travers,Bournemouth,4.4,1.0,GK,18
McCarthy,Southampton,4.3,1.0,GK,18
Steele,Brighton & Hove Albion,4.2,1.0,GK,18
Lumley,Southampton,4.0,1.0,GK,18
Neto,Arsenal,4.2,1.0,GK,18
Jørgensen,Chelsea,4.2,1.0,GK,18
Walton,Ipswich Town,4.3,1.0,GK,18
Ward,Leicester City,4.0,1.0,GK,18
Olsen,Aston Villa,4.5,1.0,GK,18
Jaros,Liverpool,4.0,1.0,GK,18
Setford,Arsenal,4.5,1.0,GK,18
Gauci,Aston Villa,4.0,1.0,GK,18
Zych,Aston Villa,4.0,1.0,GK,18
Dennis,Bournemouth,4.0,1.0,GK,18
Valdimarsson,Brentford,3.9,1.0,GK,18
Cahill,Brighton & Hove Albion,3.9,1.0,GK,18
Bergström,Chelsea,3.9,1.0,GK,18
Bettinelli,Chelsea,3.9,1.0,GK,18
Matthews,Crystal Palace,3.9,1.0,GK,18
Turner,Crystal Palace,4.0,1.0,GK,18
J.Virginia,Everton,3.9,1.0,GK,18
Begovic,Everton,4.0,1.0,GK,18
Benda,Fulham,4.0,1.0,GK,18
Slicker,Ipswich Town,4.0,1.0,GK,18
Iversen,Leicester City,3.9,1.0,GK,18
Stolarczyk,Leicester City,4.0,0.75,GK,18
Davies,Liverpool,4.0,1.0,GK,18
Carson,Manchester City,4.0,1.0,GK,18
Bayindir,Manchester United,4.3,1.0,GK,18
Heaton,Manchester United,4.0,1.0,GK,18
Odysseas,Newcastle United,4.3,1.0,GK,18
Ruddy,Newcastle United,4.0,1.0,GK,18
C.Miguel,Nottingham Forest,4.2,1.0,GK,18
Bazunu,Southampton,4.3,0.0,GK,18
Austin,Tottenham Hotspur,4.0,1.0,GK,18
Whiteman,Tottenham Hotspur,4.0,1.0,GK,18
Foderingham,West Ham United,4.3,1.0,GK,18
Bentley,Wolverhampton Wanderers,4.0,1.0,GK,18
King,Wolverhampton Wanderers,4.0,1.0,GK,18
Aina,Nottingham Forest,5.0,1.0,DEF,18
Gabriel,Arsenal,6.3,1.0,DEF,18
Young,Everton,4.7,0.0,DEF,18
Alexander-Arnold,Liverpool,7.1,1.0,DEF,18
Virgil,Liverpool,6.5,1.0,DEF,18
Milenković,Nottingham Forest,4.6,1.0,DEF,18
Gvardiol,Manchester City,6.0,1.0,DEF,18
Saliba,Arsenal,6.3,1.0,DEF,18
Robinson,Fulham,4.9,1.0,DEF,18
Murillo,Nottingham Forest,4.6,1.0,DEF,18
Pedro Porro,Tottenham Hotspur,5.5,1.0,DEF,18
Hall,Newcastle United,4.7,1.0,DEF,18
Kerkez,Bournemouth,4.7,1.0,DEF,18
Tarkowski,Everton,4.8,1.0,DEF,18
J.Timber,Arsenal,5.7,1.0,DEF,18
Mykolenko,Everton,4.3,1.0,DEF,18
Dalot,Manchester United,5.1,1.0,DEF,18
Muñoz,Crystal Palace,4.7,1.0,DEF,18
Collins,Brentford,4.6,1.0,DEF,18
Wan-Bissaka,West Ham United,4.6,1.0,DEF,18
Mitchell,Crystal Palace,4.8,1.0,DEF,18
Mazraoui,Manchester United,4.6,1.0,DEF,18
Digne,Aston Villa,4.7,1.0,DEF,18
Guéhi,Crystal Palace,4.5,1.0,DEF,18
Konaté,Liverpool,5.1,0.0,DEF,18
Robertson,Liverpool,5.9,1.0,DEF,18
Burn,Newcastle United,4.4,1.0,DEF,18
Schär,Newcastle United,5.4,1.0,DEF,18
Livramento,Newcastle United,4.5,1.0,DEF,18
Cucurella,Chelsea,5.2,1.0,DEF,18
Martinez,Manchester United,4.4,1.0,DEF,18
De Ligt,Manchester United,5.0,0.75,DEF,18
Zabarnyi,Bournemouth,4.4,1.0,DEF,18
Colwill,Chelsea,4.6,1.0,DEF,18
Davis,Ipswich Town,4.5,1.0,DEF,18
Huijsen,Bournemouth,4.3,1.0,DEF,18
Lacroix,Crystal Palace,4.5,1.0,DEF,18
Kilman,West Ham United,4.4,1.0,DEF,18
Aït-Nouri,Wolverhampton Wanderers,4.8,1.0,DEF,18
Chalobah,Crystal Palace,4.4,1.0,DEF,18
Tete,Fulham,4.5,0.0,DEF,18
Emerson,West Ham United,4.4,1.0,DEF,18
Lewis,Manchester City,4.6,1.0,DEF,18
Veltman,Brighton & Hove Albion,4.5,1.0,DEF,18
Branthwaite,Everton,4.8,1.0,DEF,18
Bassey,Fulham,4.5,1.0,DEF,18
Justin,Leicester City,4.3,1.0,DEF,18
Romero,Tottenham Hotspur,5.0,0.0,DEF,18
Konsa,Aston Villa,4.4,1.0,DEF,18
Smith,Bournemouth,4.5,1.0,DEF,18
Harwood-Bellis,Southampton,4.1,1.0,DEF,18
Walker-Peters,Southampton,4.3,1.0,DEF,18
Udogie,Tottenham Hotspur,4.9,1.0,DEF,18
Pinnock,Brentford,4.5,0.0,DEF,18
N.Williams,Nottingham Forest,4.3,1.0,DEF,18
Sugawara,Southampton,4.3,1.0,DEF,18
Keane,Everton,4.1,1.0,DEF,18
Van Hecke,Brighton & Hove Albion,4.5,1.0,DEF,18
Pau,Aston Villa,4.4,1.0,DEF,18
Alex Moreno,Nottingham Forest,4.4,1.0,DEF,18
Dunk,Brighton & Hove Albion,4.4,1.0,DEF,18
N.Semedo,Wolverhampton Wanderers,4.5,1.0,DEF,18
Rúben,Manchester City,5.4,0.0,DEF,18
Van de Ven,Tottenham Hotspur,4.5,0.0,DEF,18
White,Arsenal,6.1,0.0,DEF,18
Gusto,Chelsea,4.9,1.0,DEF,18
Faes,Leicester City,4.0,1.0,DEF,18
Toti,Wolverhampton Wanderers,4.3,1.0,DEF,18
Bednarek,Southampton,4.0,1.0,DEF,18
Calafiori,Arsenal,5.8,1.0,DEF,18
Akanji,Manchester City,5.3,1.0,DEF,18
Cash,Aston Villa,4.4,1.0,DEF,18
Mavropanos,West Ham United,4.4,1.0,DEF,18
Senesi,Bournemouth,4.7,0.0,DEF,18
O'Shea,Ipswich Town,4.1,1.0,DEF,18
Kristiansen,Leicester City,4.5,1.0,DEF,18
Stones,Manchester City,5.3,0.75,DEF,18
Diego Carlos,Aston Villa,4.5,0.75,DEF,18
Van den Berg,Brentford,4.1,0.0,DEF,18
Estupiñan,Brighton & Hove Albion,5.1,1.0,DEF,18
Disasi,Chelsea,4.2,1.0,DEF,18
Tosin,Chelsea,4.2,1.0,DEF,18
Andersen,Fulham,4.2,1.0,DEF,18
Diop,Fulham,4.4,1.0,DEF,18
Dragusin,Tottenham Hotspur,4.3,1.0,DEF,18
Doherty,Wolverhampton Wanderers,4.3,1.0,DEF,18
F.Kadıoğlu,Brighton & Hove Albion,4.5,0.25,DEF,18
W.Fofana,Chelsea,4.4,0.0,DEF,18
S.Bueno,Wolverhampton Wanderers,4.3,1.0,DEF,18
Roerslev,Brentford,4.3,0.75,DEF,18
Lamptey,Brighton & Hove Albion,4.4,1.0,DEF,18
Trippier,Newcastle United,5.6,1.0,DEF,18
Todibo,West Ham United,4.3,1.0,DEF,18
Zinchenko,Arsenal,4.8,0.75,DEF,18
Igor,Brighton & Hove Albion,4.4,1.0,DEF,18
Burgess,Ipswich Town,4.0,1.0,DEF,18
Tuanzebe,Ipswich Town,4.0,0.0,DEF,18
Morato,Nottingham Forest,4.5,1.0,DEF,18
Dawson,Wolverhampton Wanderers,4.4,1.0,DEF,18
Okoli,Leicester City,4.0,1.0,DEF,18
Evans,Manchester United,4.4,1.0,DEF,18
Coufal,West Ham United,4.2,1.0,DEF,18
Kiwior,Arsenal,4.8,1.0,DEF,18
Clyne,Crystal Palace,4.3,1.0,DEF,18
Tsimikas,Liverpool,4.6,1.0,DEF,18
Maguire,Manchester United,4.9,1.0,DEF,18
Maatsen,Aston Villa,4.6,1.0,DEF,18
Castagne,Fulham,4.2,1.0,DEF,18
Greaves,Ipswich Town,3.9,1.0,DEF,18
Gomez,Liverpool,4.9,1.0,DEF,18
Walker,Manchester City,5.2,1.0,DEF,18
Manning,Southampton,4.3,1.0,DEF,18
C.Richards,Crystal Palace,4.4,1.0,DEF,18
Bradley,Liverpool,4.7,0.0,DEF,18
Spence,Tottenham Hotspur,4.4,1.0,DEF,18
Johnson,Ipswich Town,3.9,1.0,DEF,18
Kelly,Newcastle United,4.2,1.0,DEF,18
Krafth,Newcastle United,4.3,0.0,DEF,18
Stephens,Southampton,4.0,1.0,DEF,18
Wood,Southampton,4.0,1.0,DEF,18
Davies,Tottenham Hotspur,4.3,0.0,DEF,18
Ajer,Brentford,4.4,0.0,DEF,18
Aké,Manchester City,5.3,1.0,DEF,18
J.Araujo,Bournemouth,4.3,0.0,DEF,18
Taylor,Southampton,3.9,1.0,DEF,18
B.Badiashile,Chelsea,4.3,0.0,DEF,18
James,Chelsea,4.8,0.0,DEF,18
Vestergaard,Leicester City,4.0,1.0,DEF,18
J.Cuenca,Fulham,4.4,1.0,DEF,18
Woolfenden,Ipswich Town,4.0,1.0,DEF,18
Coady,Leicester City,4.0,1.0,DEF,18
Lindelof,Manchester United,4.3,0.25,DEF,18
Boly,Nottingham Forest,4.2,1.0,DEF,18
Cresswell,West Ham United,3.9,1.0,DEF,18
