name,position,nationality,team,season
Robert Elliot,Goalkeeper,Ireland,Newcastle United,2019/20
Petr Cech,Goalkeeper,Czech Republic,Arsenal,2018/19
Bart Verbruggen,Goalkeeper,Netherlands,Brighton & Hove Albion,2024/25
Remi Matthews,Goalkeeper,England,Crystal Palace,2024/25
Max Aarons,Defender,England,Bournemouth,2024/25
Danny Ward,Goalkeeper,Wales,Leicester City,2024/25
Stefan Ortega,Goalkeeper,Germany,Manchester City,2024/25
Bernd Leno,Goalkeeper,Germany,Fulham,2024/25
William Saliba,Defender,France,Arsenal,2024/25
Alex McCarthy,Goalkeeper,England,Southampton,2024/25
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2024/25
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2024/25
Stefan Ortega,Goalkeeper,Germany,Manchester City,2023/24
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2023/24
Mark Travers,Goalkeeper,Ireland,Bournemouth,2023/24
Robert Sánchez,Goalkeeper,Spain,Brighton & Hove Albion,2023/24
Jordan Pickford,Goalkeeper,England,Everton,2023/24
Aaron Ramsdale,Goalkeeper,England,Arsenal,2023/24
Marcus Dewhurst,Goalkeeper,England,Sheffield United,2023/24
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2023/24
Alisson Becker,Goalkeeper,Brazil,Liverpool,2023/24
Freddie Woodman,Goalkeeper,England,Bournemouth,2022/23
Robert Sánchez,Goalkeeper,Spain,Brighton & Hove Albion,2022/23
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2023/24
Jack Butland,Goalkeeper,England,Crystal Palace,2022/23
Zack Steffen,Goalkeeper,United States,Manchester City,2022/23
Daniel Langley,Goalkeeper,England,Newcastle United,2022/23
Bernd Leno,Goalkeeper,Germany,Arsenal,2022/23
Alex McCarthy,Goalkeeper,England,Southampton,2022/23
Marek Rodák,Goalkeeper,Slovakia,Fulham,2022/23
Bernd Leno,Goalkeeper,Germany,Arsenal,2021/22
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2022/23
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2022/23
Emiliano Martínez,Goalkeeper,Argentina,Aston Villa,2024/25
Mark Flekken,Goalkeeper,Netherlands,Brentford,2024/25
Marcus Bettinelli,Goalkeeper,England,Chelsea,2024/25
Jordan Pickford,Goalkeeper,England,Everton,2024/25
Christian Walton,Goalkeeper,England,Ipswich Town,2024/25
Alisson Becker,Goalkeeper,Brazil,Liverpool,2024/25
Tom Heaton,Goalkeeper,England,Manchester United,2024/25
Neco Williams,Defender,Wales,Nottingham Forest,2024/25
Guglielmo Vicario,Goalkeeper,Italy,Tottenham Hotspur,2024/25
José Sá,Goalkeeper,Portugal,Wolverhampton Wanderers,2024/25
