name,position,team,predicted_total_points,price,condition
Joshua Zirkzee,FWD,Manchester United,6.8,7.1,1.0
Rodrigo Muniz,FWD,Fulham,2.33,6.1,1.0
Luke Shaw,DEF,Manchester United,-0.03,4.9,0.0
Carlos Vinícius,MID,Manchester United,2.49,5.0,1.0
Steven Benda,GK,Fulham,0.01,4.0,1.0
Lisandro Martínez,DEF,Manchester United,2.88,4.5,1.0
Altay Bayindir,GK,Manchester United,0.01,4.5,1.0
Issa Diop,DEF,Fulham,1.99,4.5,1.0
Bruno Fernandes,MID,Manchester United,3.34,8.4,1.0
Adama Traoré,MID,Fulham,2.68,5.0,1.0
Toby Collyer,MID,Manchester United,0.01,4.5,1.0
Harry Maguire,DEF,Manchester United,2.77,5.0,1.0
Alejandro Garnacho,MID,Manchester United,3.7,6.4,1.0
Anthony Martial,MID,Manchester United,0.02,5.9,1.0
Emile Smith Rowe,MID,Fulham,0.9,5.6,1.0
Rasmus Højlund,FWD,Manchester United,0.57,6.9,0.0
Scott McTominay,MID,Manchester United,1.71,4.9,1.0
Martial Godo,MID,Fulham,0.01,4.5,1.0
Amad Diallo,MID,Manchester United,1.77,5.0,1.0
Andreas Pereira,MID,Fulham,0.77,5.5,1.0
Jay Stansfield,FWD,Fulham,0.41,5.0,1.0
Jonny Evans,DEF,Manchester United,1.11,4.5,1.0
Jadon Sancho,MID,Manchester United,-0.06,6.3,1.0
Ryan Sweeney,DEF,Fulham,0.02,4.5,1.0
Calvin Bassey,DEF,Fulham,0.99,4.5,1.0
Josh King,MID,Fulham,0.01,4.5,1.0
Jorge Cuenca,DEF,Fulham,0.01,4.5,1.0
Tom Heaton,GK,Manchester United,0.01,4.0,1.0
Matthijs de Ligt,DEF,Manchester United,0.38,4.5,1.0
Mason Mount,MID,Manchester United,1.05,6.4,0.0
Harrison Reed,MID,Fulham,0.63,5.0,1.0
Carlos Vinícius,FWD,Fulham,0.95,5.0,1.0
Sasa Lukic,MID,Fulham,1.42,5.0,1.0
Leny Yoro,DEF,Manchester United,0.01,4.4,0.0
Tyrell Malacia,DEF,Manchester United,-0.01,4.5,0.0
Christian Eriksen,MID,Manchester United,0.83,5.4,1.0
Facundo Pellistri,MID,Manchester United,-0.01,8.4,1.0
Kevin Mbabu,DEF,Fulham,0.01,4.0,1.0
André Onana,GK,Manchester United,6.26,5.0,1.0
Marcus Rashford,MID,Manchester United,1.64,6.9,1.0
