name,team,predicted_total_points,price,position
Alisson Becker,Liverpool,6.66,5.5,GK
Nick Pope,Newcastle United,6.35,5.0,GK
Noussair Mazraoui,Manchester United,7.52,4.5,DEF
Diogo Dalot,Manchester United,7.32,5.0,DEF
Joël Veltman,Brighton & Hove Albion,6.89,4.5,DEF
Pedro Porro,Tottenham Hotspur,6.51,5.5,DEF
Mohamed Salah,Liverpool,14.38,12.6,MID
Callum Hudson-Odoi,Nottingham Forest,9.49,5.5,MID
Amadou Onana,Aston Villa,10.28,5.0,MID
Youri Tielemans,Aston Villa,9.05,5.5,MID
Mateo Kovacic,Manchester City,10.36,5.5,MID
Danny Welbeck,Brighton & Hove Albion,8.97,5.6,FWD
Kai Havertz,Arsenal,10.58,8.1,FWD
Yoane Wissa,Brentford,12.3,6.1,FWD
Erling Haaland,Manchester City,10.54,15.1,FWD
