name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,15,Arsenal,Everton,5.6,1.0,3.81,6
Mark Flekken,GK,91,Brentford,Chelsea,4.5,1.0,3.76,3
Vitalii Mykolenko,DEF,231,Everton,Arsenal,4.3,1.0,4.39,7
William Saliba,DEF,18,Arsenal,Everton,6.2,1.0,6.13,6
James Tarkowski,DEF,236,Everton,Arsenal,4.8,1.0,4.75,6
Cole Palmer,MID,182,Chelsea,Brentford,11.1,1.0,7.54,3
Bruno Borges Fernandes,MID,366,Manchester United,Manchester City,8.4,1.0,6.73,9
Bukayo Saka,MID,17,Arsenal,Everton,10.6,1.0,7.86,3
Enzo Fernández,MID,168,Chelsea,Brentford,5.0,1.0,5.69,5
Marcus Rashford,MID,385,Manchester United,Manchester City,6.9,1.0,6.48,0
Bryan Mbeumo,MID,99,Brentford,Chelsea,7.6,1.0,5.89,9
Amad Diallo,MID,364,Manchester United,Manchester City,5.1,1.0,5.91,13
Yoane Wissa,FWD,110,Brentford,Chelsea,6.2,1.0,5.8,2
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,Crystal Palace,5.9,1.0,6.85,2
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Ipswich Town,7.1,1.0,6.36,9
