name,position,team,opponent_team,price,condition,xTotPoints
Kepa Arrizabalaga,GK,Bournemouth,Fulham,4.5,1.0,6.65
Jordan Pickford,GK,Everton,Nottingham Forest,5.0,1.0,5.54
Tyrick Mitchell,DEF,Crystal Palace,Southampton,4.8,1.0,6.89
William Saliba,DEF,Arsenal,Brentford,6.3,1.0,9.07
Lewis Hall,DEF,Newcastle United,Manchester United,4.7,1.0,7.25
Dean Huijsen,DEF,Bournemouth,Fulham,4.4,1.0,7.99
Ismaïla Sarr,MID,Crystal Palace,Southampton,5.9,1.0,6.41
Mohamed Salah,MID,Liverpool,West Ham United,13.6,1.0,13.67
Anthony Gordon,MID,Newcastle United,Manchester United,7.3,1.0,7.63
Declan Rice,MID,Arsenal,Brentford,6.2,1.0,6.79
Bryan Mbeumo,MID,Brentford,Arsenal,7.6,1.0,5.85
Alexander Isak,FWD,Newcastle United,Manchester United,9.1,1.0,7.74
Cody Gakpo,FWD,Liverpool,West Ham United,7.2,1.0,6.01
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Tottenham Hotspur,7.1,1.0,6.43
Rodrigo Muniz Carvalho,FWD,Fulham,Bournemouth,5.5,1.0,6.08
