name,position,team,opponent_team,price,condition,xTotPoints,total_points
André Onana,GK,Manchester United,Brighton & Hove Albion,5.0,1.0,6.58,1
Bernd Leno,GK,Fulham,Leicester City,5.0,1.0,6.83,3
Noussair Mazraoui,DEF,Manchester United,Brighton & Hove Albion,4.5,1.0,7.97,4
Manuel Akanji,DEF,Manchester City,Ipswich Town,5.5,1.0,6.0,2
Diogo Dalot Teixeira,DEF,Manchester United,Brighton & Hove Albion,5.0,1.0,7.61,1
Mitoma Kaoru,MID,Brighton & Hove Albion,Manchester United,6.6,1.0,7.98,6
Mohamed Salah,MID,Liverpool,Brentford,12.6,1.0,10.0,10
Bukayo Saka,MID,Arsenal,Aston Villa,10.0,1.0,9.82,6
Antoine Semenyo,MID,Bournemouth,Newcastle United,5.5,1.0,7.77,5
Abdul Fatawu,MID,Leicester City,Fulham,5.5,1.0,7.9,2
Chris Wood,FWD,Nottingham Forest,Southampton,6.1,1.0,8.79,1
Alexander Isak,FWD,Newcastle United,Bournemouth,8.5,1.0,9.07,2
Kai Havertz,FWD,Arsenal,Aston Villa,8.1,1.0,10.81,2
Yoane Wissa,FWD,Brentford,Liverpool,6.1,1.0,9.62,2
Danny Welbeck,FWD,Brighton & Hove Albion,Manchester United,5.6,1.0,7.75,9
