name,position,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,Arsenal,Brighton & Hove Albion,5.5,1.0,8.76,2
Bernd Leno,GK,Fulham,Ipswich Town,5.0,1.0,4.98,3
Noussair Mazraoui,DEF,Manchester United,Liverpool,4.5,1.0,5.42,1
William Saliba,DEF,Arsenal,Brighton & Hove Albion,6.0,1.0,5.57,2
Malo Gusto,DEF,Chelsea,Crystal Palace,5.0,1.0,6.17,2
Noni Madueke,MID,Chelsea,Crystal Palace,6.5,1.0,5.93,2
Mohamed Salah,MID,Liverpool,Manchester United,12.6,1.0,11.86,17
Marcus Tavernier,MID,Bournemouth,Everton,5.5,1.0,6.28,2
João Félix Sequeira,MID,Chelsea,Crystal Palace,6.5,1.0,5.93,1
Luis Díaz,MID,Liverpool,Manchester United,7.5,1.0,7.23,15
Bryan Mbeumo,MID,Brentford,Southampton,7.0,1.0,7.81,14
Alexander Isak,FWD,Newcastle United,Tottenham Hotspur,8.5,1.0,7.11,9
Kai Havertz,FWD,Arsenal,Brighton & Hove Albion,8.1,1.0,6.53,8
Yoane Wissa,FWD,Brentford,Southampton,6.1,1.0,8.71,8
Danny Welbeck,FWD,Brighton & Hove Albion,Arsenal,5.6,1.0,4.99,2
