name,position,team,opponent_team,price,condition,xTotPoints,total_points
Guglielmo Vicario,GK,Tottenham Hotspur,Arsenal,5.0,1.0,4.52,2
Alisson Ramses Becker,GK,Liverpool,Nottingham Forest,5.5,1.0,5.89,2
Lucas Digne,DEF,Aston Villa,Everton,4.5,1.0,7.54,4
Diogo Dalot Teixeira,DEF,Manchester United,Southampton,5.0,1.0,4.62,11
Cristian Romero,DEF,Tottenham Hotspur,Arsenal,5.1,1.0,5.58,2
Thomas Partey,MID,Arsenal,Tottenham Hotspur,5.0,1.0,5.6,3
Phil Foden,MID,Manchester City,Brentford,9.4,0.75,7.38,0
Mohamed Salah,MID,Liverpool,Nottingham Forest,12.6,1.0,8.97,2
Luis Díaz,MID,Liverpool,Nottingham Forest,7.6,1.0,7.65,3
Bryan Mbeumo,MID,Brentford,Manchester City,7.1,1.0,7.74,2
Son Heung-min,MID,Tottenham Hotspur,Arsenal,10.0,1.0,8.6,2
Amadou Onana,MID,Aston Villa,Everton,5.1,1.0,4.96,1
Jhon Durán,FWD,Aston Villa,Everton,6.0,1.0,6.64,6
Yoane Wissa,FWD,Brentford,Manchester City,6.1,1.0,6.39,7
Raúl Jiménez,FWD,Fulham,West Ham United,5.4,1.0,7.78,9
